timestamp_utc,league,event_id,event_start_utc,home_team,away_team,sportsbook,market_key,stat_key,player_name,player_name_norm,outcome,line,price_decimal,price_american,raw_implied_prob,adj_implied_prob,source,fetch_run_id,extra_json,timestamp_minute
2026-01-25T07:13:27.121594+00:00,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,draftkings,points,points,Isaiah Stewart II,isaiah stewart,under,9.5,1.85,-118,0.5405405405405405,0.5105820105820106,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:05Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,draftkings,points,points,Ron Holland,ron holland,over,8.5,1.85,-118,0.5405405405405405,0.5092838196286471,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:05Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,draftkings,points,points,Ron Holland,ron holland,under,8.5,1.92,-109,0.5208333333333334,0.49071618037135284,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:05Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,c86cde8c8683c965d5c7ebd795617e43,2026-01-25T20:40:00+00:00,Memphis Grizzlies,Denver Nuggets,draftkings,points,points,Jamal Murray,jamal murray,over,29.5,1.9,-111,0.5263157894736842,0.4960212201591513,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:02Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,c86cde8c8683c965d5c7ebd795617e43,2026-01-25T20:40:00+00:00,Memphis Grizzlies,Denver Nuggets,draftkings,points,points,Jamal Murray,jamal murray,under,29.5,1.87,-115,0.53475935828877,0.5039787798408488,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:02Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,c86cde8c8683c965d5c7ebd795617e43,2026-01-25T20:40:00+00:00,Memphis Grizzlies,Denver Nuggets,draftkings,points,points,Jaren Jackson Jr,jaren jackson,over,21.5,1.96,-104,0.5102040816326531,0.48010610079575594,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:02Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,c86cde8c8683c965d5c7ebd795617e43,2026-01-25T20:40:00+00:00,Memphis Grizzlies,Denver Nuggets,draftkings,points,points,Jaren Jackson Jr,jaren jackson,under,21.5,1.81,-123,0.5524861878453039,0.519893899204244,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:02Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,c86cde8c8683c965d5c7ebd795617e43,2026-01-25T20:40:00+00:00,Memphis Grizzlies,Denver Nuggets,draftkings,points,points,Peyton Watson,peyton watson,over,20.5,1.94,-106,0.5154639175257733,0.4854111405835544,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:02Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,c86cde8c8683c965d5c7ebd795617e43,2026-01-25T20:40:00+00:00,Memphis Grizzlies,Denver Nuggets,draftkings,points,points,Peyton Watson,peyton watson,under,20.5,1.83,-120,0.5464480874316939,0.5145888594164455,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:02Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,c86cde8c8683c965d5c7ebd795617e43,2026-01-25T20:40:00+00:00,Memphis Grizzlies,Denver Nuggets,draftkings,points,points,Jonas Valanciunas,jonas valanciunas,over,15.5,1.96,-104,0.5102040816326531,0.48010610079575594,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:02Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,c86cde8c8683c965d5c7ebd795617e43,2026-01-25T20:40:00+00:00,Memphis Grizzlies,Denver Nuggets,draftkings,points,points,Jonas Valanciunas,jonas valanciunas,under,15.5,1.81,-123,0.5524861878453039,0.519893899204244,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:02Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,c86cde8c8683c965d5c7ebd795617e43,2026-01-25T20:40:00+00:00,Memphis Grizzlies,Denver Nuggets,draftkings,points,points,Cedric Coward,cedric coward,over,14.5,1.88,-114,0.5319148936170213,0.5013262599469495,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:02Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,c86cde8c8683c965d5c7ebd795617e43,2026-01-25T20:40:00+00:00,Memphis Grizzlies,Denver Nuggets,draftkings,points,points,Cedric Coward,cedric coward,under,14.5,1.89,-112,0.5291005291005292,0.4986737400530504,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:02Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,c86cde8c8683c965d5c7ebd795617e43,2026-01-25T20:40:00+00:00,Memphis Grizzlies,Denver Nuggets,draftkings,points,points,Jock Landale,jock landale,over,13.5,1.98,-102,0.5050505050505051,0.4761904761904762,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:02Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,c86cde8c8683c965d5c7ebd795617e43,2026-01-25T20:40:00+00:00,Memphis Grizzlies,Denver Nuggets,draftkings,points,points,Jock Landale,jock landale,under,13.5,1.8,-125,0.5555555555555556,0.5238095238095238,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:02Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,c86cde8c8683c965d5c7ebd795617e43,2026-01-25T20:40:00+00:00,Memphis Grizzlies,Denver Nuggets,draftkings,points,points,Cam Spencer,cam spencer,over,12.5,1.82,-122,0.5494505494505494,0.5185185185185185,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:02Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,c86cde8c8683c965d5c7ebd795617e43,2026-01-25T20:40:00+00:00,Memphis Grizzlies,Denver Nuggets,draftkings,points,points,Cam Spencer,cam spencer,under,12.5,1.96,-104,0.5102040816326531,0.4814814814814815,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:02Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,c86cde8c8683c965d5c7ebd795617e43,2026-01-25T20:40:00+00:00,Memphis Grizzlies,Denver Nuggets,draftkings,points,points,Jaylen Wells,jaylen wells,over,11.5,1.84,-119,0.5434782608695652,0.5119363395225464,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:02Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,c86cde8c8683c965d5c7ebd795617e43,2026-01-25T20:40:00+00:00,Memphis Grizzlies,Denver Nuggets,draftkings,points,points,Jaylen Wells,jaylen wells,under,11.5,1.93,-108,0.5181347150259068,0.48806366047745364,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:02Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,c86cde8c8683c965d5c7ebd795617e43,2026-01-25T20:40:00+00:00,Memphis Grizzlies,Denver Nuggets,draftkings,points,points,Jalen Pickett,jalen pickett,over,10.5,1.85,-118,0.5405405405405405,0.5092838196286471,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:02Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,c86cde8c8683c965d5c7ebd795617e43,2026-01-25T20:40:00+00:00,Memphis Grizzlies,Denver Nuggets,draftkings,points,points,Jalen Pickett,jalen pickett,under,10.5,1.92,-109,0.5208333333333334,0.49071618037135284,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:02Z""}",2026-01-25T07:13:00+00:00
