timestamp_utc,sport,league,event_id,event_start_utc,home_team,away_team,sportsbook,market_key,stat_key,player_name,player_name_norm,outcome,line,price_decimal,price_american,implied_prob,source,fetch_run_id,extra_json
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Russell Westbrook,russell westbrook,under,13.5,1.98,-102,0.47200000000000003,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Jalen Duren,jalen duren,over,17.5,1.85,-118,0.5053475935828876,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Jalen Duren,jalen duren,under,17.5,1.89,-112,0.4946524064171124,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Isaiah Stewart II,isaiah stewart,over,8.5,1.88,-114,0.5,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Isaiah Stewart II,isaiah stewart,under,8.5,1.88,-114,0.5,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,DeMar DeRozan,demar derozan,over,17.5,1.88,-114,0.5,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,DeMar DeRozan,demar derozan,under,17.5,1.88,-114,0.5,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Ausar Thompson,ausar thompson,over,10.5,1.98,-102,0.47200000000000003,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Ausar Thompson,ausar thompson,under,10.5,1.77,-130,0.528,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Cade Cunningham,cade cunningham,over,25.5,1.88,-114,0.5,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
