game_id,season,season_type,team_id,team_tricode,minutes,pts,reb,ast,stl,blk,tov,fga,fgm,fg3a,fg3m,fta,ftm,plus_minus,source,fetched_at_utc
0022500718,2025-26,Regular Season,1610612752,NYK,240.0,132,55,34,6,5,9,90,47,37,17,27,21,0,cdn,2026-02-04T16:35:21.295919+00:00
0022500719,2025-26,Regular Season,1610612751,BKN,240.0,109,55,28,7,0,20,94,45,41,10,14,9,0,cdn,2026-02-04T16:36:48.462549+00:00
0022500719,2025-26,Regular Season,1610612747,LAL,240.0,125,53,25,14,0,12,85,46,31,7,39,26,0,cdn,2026-02-04T16:36:48.462549+00:00
0022500720,2025-26,Regular Season,1610612748,MIA,240.0,115,60,25,6,1,11,96,42,32,8,26,23,0,cdn,2026-02-04T16:38:24.062234+00:00
0022500720,2025-26,Regular Season,1610612737,ATL,240.0,127,56,34,7,2,9,101,49,50,21,13,8,0,cdn,2026-02-04T16:38:24.062234+00:00
0022500721,2025-26,Regular Season,1610612742,DAL,240.0,100,56,21,4,4,9,89,37,32,9,22,17,0,cdn,2026-02-04T16:39:59.658066+00:00
0022500721,2025-26,Regular Season,1610612738,BOS,240.0,110,53,27,7,4,9,96,47,39,13,5,3,0,cdn,2026-02-04T16:39:59.658066+00:00
0022500722,2025-26,Regular Season,1610612749,MIL,240.0,131,61,33,6,4,13,97,50,38,23,15,8,0,cdn,2026-02-04T16:41:35.230486+00:00
0022500722,2025-26,Regular Season,1610612741,CHI,240.0,115,52,26,9,11,10,90,40,50,19,23,16,0,cdn,2026-02-04T16:41:35.230486+00:00
0022500723,2025-26,Regular Season,1610612760,OKC,240.0,128,63,33,12,1,10,93,48,35,12,26,20,0,cdn,2026-02-04T16:43:10.797566+00:00
0022500723,2025-26,Regular Season,1610612753,ORL,240.0,92,44,21,5,5,15,89,34,41,13,11,11,0,cdn,2026-02-04T16:43:10.797566+00:00
0022500724,2025-26,Regular Season,1610612744,GSW,240.0,94,38,27,8,6,20,78,37,48,19,2,1,0,cdn,2026-02-04T16:44:37.979790+00:00
0022500724,2025-26,Regular Season,1610612755,PHI,240.0,113,61,23,9,3,12,93,42,38,13,21,16,0,cdn,2026-02-04T16:44:37.979790+00:00
0022500725,2025-26,Regular Season,1610612757,POR,240.0,125,57,31,8,5,17,95,47,52,18,18,13,0,cdn,2026-02-04T16:46:02.977412+00:00
0022500725,2025-26,Regular Season,1610612756,PHX,240.0,130,50,26,13,2,11,97,50,41,20,15,10,0,cdn,2026-02-04T16:46:02.977412+00:00
0022500643,2025-26,Regular Season,1610612755,PHI,240.0,109,46,24,7,4,13,77,39,29,9,29,22,0,cdn,2026-02-04T17:30:57.309742+00:00
0022500643,2025-26,Regular Season,1610612752,NYK,240.0,112,64,27,6,5,10,93,41,44,15,27,15,0,cdn,2026-02-04T17:30:57.309742+00:00
0022500644,2025-26,Regular Season,1610612750,MIN,240.0,85,59,16,6,5,25,79,30,38,13,20,12,0,cdn,2026-02-04T17:34:05.811984+00:00
0022500644,2025-26,Regular Season,1610612744,GSW,240.0,111,55,31,20,5,12,95,40,51,16,16,15,0,cdn,2026-02-04T17:34:05.811984+00:00
0022500645,2025-26,Regular Season,1610612766,CHA,240.0,119,55,30,8,3,21,79,41,36,14,30,23,0,cdn,2026-02-04T17:37:13.369093+00:00
0022500645,2025-26,Regular Season,1610612764,WAS,240.0,115,43,35,14,6,13,96,44,53,19,9,8,0,cdn,2026-02-04T17:37:13.369093+00:00
0022500646,2025-26,Regular Season,1610612753,ORL,240.0,105,51,21,8,3,16,81,33,40,11,32,28,0,cdn,2026-02-04T17:40:20.948705+00:00
0022500646,2025-26,Regular Season,1610612739,CLE,240.0,119,45,27,11,6,14,81,43,34,15,22,18,0,cdn,2026-02-04T17:40:20.948705+00:00
0022500647,2025-26,Regular Season,1610612741,CHI,240.0,114,51,32,2,6,15,85,43,45,21,8,7,0,cdn,2026-02-04T17:43:28.481645+00:00
0022500647,2025-26,Regular Season,1610612738,BOS,240.0,111,48,28,10,5,6,99,44,47,15,9,8,0,cdn,2026-02-04T17:43:28.481645+00:00
0022500648,2025-26,Regular Season,1610612742,DAL,240.0,110,54,22,10,6,11,94,39,29,10,29,22,0,cdn,2026-02-04T17:46:35.919472+00:00
0022500648,2025-26,Regular Season,1610612747,LAL,240.0,116,66,26,7,8,14,90,40,34,14,29,22,0,cdn,2026-02-04T17:46:35.919472+00:00
0022500649,2025-26,Regular Season,1610612762,UTA,240.0,116,48,36,9,10,14,92,44,25,7,28,21,0,cdn,2026-02-04T17:49:43.437625+00:00
0022500649,2025-26,Regular Season,1610612748,MIA,240.0,147,77,35,10,6,13,108,47,47,19,42,34,0,cdn,2026-02-04T17:49:43.437625+00:00
0022500650,2025-26,Regular Season,1610612765,DET,240.0,139,55,31,15,5,18,91,50,31,16,28,23,0,cdn,2026-02-04T17:52:51.013720+00:00
0022500650,2025-26,Regular Season,1610612758,SAC,240.0,116,43,32,7,7,19,84,44,25,11,28,17,0,cdn,2026-02-04T17:52:51.013720+00:00
0022500653,2025-26,Regular Season,1610612760,OKC,240.0,101,46,21,5,5,11,75,33,43,11,31,24,0,cdn,2026-02-04T17:55:58.494175+00:00
0022500653,2025-26,Regular Season,1610612761,TOR,240.0,103,62,28,10,6,11,86,37,34,12,26,17,0,cdn,2026-02-04T17:55:58.494175+00:00
0022500654,2025-26,Regular Season,1610612759,SAS,240.0,95,55,22,2,5,11,81,32,44,12,32,19,0,cdn,2026-02-04T17:59:06.033112+00:00
0022500654,2025-26,Regular Season,1610612740,NOP,240.0,104,72,23,3,5,10,102,41,34,9,17,13,0,cdn,2026-02-04T17:59:06.033112+00:00
0022500655,2025-26,Regular Season,1610612756,PHX,240.0,102,61,14,6,7,10,100,37,35,7,26,21,0,cdn,2026-02-04T18:02:13.495086+00:00
0022500655,2025-26,Regular Season,1610612748,MIA,240.0,111,66,21,6,3,10,93,39,35,9,29,24,0,cdn,2026-02-04T18:02:13.495086+00:00
0022500656,2025-26,Regular Season,1610612746,LAC,240.0,126,55,20,12,5,19,78,44,25,12,29,26,0,cdn,2026-02-04T18:05:20.986786+00:00
0022500656,2025-26,Regular Season,1610612751,BKN,240.0,89,41,23,14,4,16,85,29,43,9,25,22,0,cdn,2026-02-04T18:05:20.986786+00:00
0022500657,2025-26,Regular Season,1610612766,CHA,240.0,130,62,34,8,4,23,83,47,41,17,27,19,0,cdn,2026-02-04T18:08:29.007702+00:00
0022500657,2025-26,Regular Season,1610612755,PHI,240.0,93,42,20,14,3,17,89,35,30,9,19,14,0,cdn,2026-02-04T18:08:29.007702+00:00
0022500658,2025-26,Regular Season,1610612739,CLE,240.0,114,54,23,6,5,14,79,42,25,11,27,19,0,cdn,2026-02-04T18:11:37.019445+00:00
0022500658,2025-26,Regular Season,1610612753,ORL,240.0,98,51,21,10,6,11,94,38,39,11,15,11,0,cdn,2026-02-04T18:11:37.019445+00:00
0022500659,2025-26,Regular Season,1610612737,ATL,240.0,132,54,35,11,9,14,98,49,43,18,17,16,0,cdn,2026-02-04T18:14:45.166112+00:00
0022500659,2025-26,Regular Season,1610612754,IND,240.0,116,52,31,11,7,16,93,43,35,10,25,20,0,cdn,2026-02-04T18:14:45.166112+00:00
0022500660,2025-26,Regular Season,1610612738,BOS,240.0,102,59,24,11,4,17,90,39,34,13,18,11,0,cdn,2026-02-04T18:17:53.306376+00:00
0022500660,2025-26,Regular Season,1610612757,POR,240.0,94,55,17,11,8,18,78,32,40,10,30,20,0,cdn,2026-02-04T18:17:53.306376+00:00
0022500661,2025-26,Regular Season,1610612741,CHI,240.0,118,45,31,5,0,15,82,43,49,18,18,14,0,cdn,2026-02-04T18:21:01.228404+00:00
0022500661,2025-26,Regular Season,1610612747,LAL,240.0,129,43,26,7,3,6,82,46,33,16,29,21,0,cdn,2026-02-04T18:21:01.228404+00:00
0022500662,2025-26,Regular Season,1610612745,HOU,240.0,108,67,29,9,3,16,92,41,37,11,20,15,0,cdn,2026-02-04T18:24:09.179570+00:00
0022500662,2025-26,Regular Season,1610612763,MEM,240.0,99,60,26,9,5,13,105,39,37,7,17,14,0,cdn,2026-02-04T18:24:09.179570+00:00
0022500663,2025-26,Regular Season,1610612750,MIN,240.0,108,61,29,12,10,22,81,37,35,14,26,20,0,cdn,2026-02-04T18:27:17.327530+00:00
0022500663,2025-26,Regular Season,1610612744,GSW,240.0,83,57,21,13,4,18,95,33,39,9,13,8,0,cdn,2026-02-04T18:27:17.327530+00:00
0022500529,2025-26,Regular Season,1610612741,CHI,240.0,113,62,25,5,4,15,94,37,38,15,29,24,0,cdn,2026-02-04T18:30:25.430870+00:00
0022500529,2025-26,Regular Season,1610612748,MIA,240.0,116,55,29,12,2,13,93,42,36,12,24,20,0,cdn,2026-02-04T18:30:25.430870+00:00
0022500664,2025-26,Regular Season,1610612764,WAS,240.0,115,54,27,16,12,13,98,40,39,17,21,18,0,cdn,2026-02-04T18:33:33.458736+00:00
0022500664,2025-26,Regular Season,1610612757,POR,240.0,111,85,19,10,5,20,109,42,38,14,23,13,0,cdn,2026-02-04T18:33:33.458736+00:00
0022500665,2025-26,Regular Season,1610612752,NYK,240.0,103,50,24,11,1,18,78,37,32,13,18,16,0,cdn,2026-02-04T18:36:41.214540+00:00
0022500665,2025-26,Regular Season,1610612758,SAC,240.0,87,48,18,8,3,16,87,35,30,5,14,12,0,cdn,2026-02-04T18:36:41.214540+00:00
