player_id,player_name,team_abbr,def_fg_pct,def_fga,player_position,season
1631114,Jalen Williams,OKC,0.448,707,G-F,2023-24
1629060,Rui Hachimura,LAL,0.482,707,F,2023-24
1631212,Peyton Watson,DEN,0.424,706,G,2023-24
1629012,Collin Sexton,UTA,0.496,702,G,2023-24
1629614,Andrew Nembhard,IND,0.464,700,G-F,2023-24
1641739,Toumani Camara,POR,0.498,699,F,2023-24
203937,Kyle Anderson,MIN,0.454,698,F-G,2023-24
203484,Kentavious Caldwell-Pope,DEN,0.444,696,G,2023-24
1627742,Brandon Ingram,NOP,0.481,690,F,2023-24
200768,Kyle Lowry,PHI,0.492,685,G,2023-24
1630700,Dyson Daniels,NOP,0.471,683,G,2023-24
1629631,De'Andre Hunter,ATL,0.485,682,F-G,2023-24
1630573,Sam Hauser,BOS,0.478,676,F,2023-24
1641871,Duop Reath,POR,0.485,670,C,2023-24
1628976,Wendell Carter Jr.,ORL,0.495,666,C-F,2023-24
1627884,Derrick Jones Jr.,DAL,0.46,665,F,2023-24
1641709,Ausar Thompson,DET,0.483,665,G-F,2023-24
1626145,Tyus Jones,WAS,0.529,664,G,2023-24
1629021,Moritz Wagner,ORL,0.489,664,F-C,2023-24
203083,Andre Drummond,CHI,0.495,663,C,2023-24
1628989,Kevin Huerter,SAC,0.499,659,G-F,2023-24
1629234,Drew Eubanks,PHX,0.468,658,F-C,2023-24
1628384,OG Anunoby,NYK,0.437,650,F-G,2023-24
202681,Kyrie Irving,DAL,0.491,646,G,2023-24
1641731,Bilal Coulibaly,WAS,0.505,645,G,2023-24
203944,Julius Randle,NYK,0.481,644,F-C,2023-24
202710,Jimmy Butler III,MIA,0.473,639,F,2023-24
1630577,Julian Champagnie,SAS,0.455,639,F,2023-24
1628436,Luke Kornet,BOS,0.445,638,C-F,2023-24
203967,Dario Šarić,GSW,0.503,634,F-C,2023-24
1629312,Haywood Highsmith,MIA,0.45,634,F,2023-24
1629611,Terance Mann,LAC,0.502,632,G-F,2023-24
1626181,Norman Powell,LAC,0.456,629,G,2023-24
1630180,Saddiq Bey,ATL,0.502,629,G-F,2023-24
1628963,Marvin Bagley III,WAS,0.489,626,F,2023-24
1628370,Malik Monk,SAC,0.464,623,G,2023-24
1631218,Trayce Jackson-Davis,GSW,0.477,620,F,2023-24
1630191,Isaiah Stewart,DET,0.43,619,F-C,2023-24
1629014,Anfernee Simons,POR,0.542,618,G,2023-24
1631133,Jabari Walker,POR,0.477,614,F,2023-24
1630171,Isaac Okoro,CLE,0.452,610,F-G,2023-24
1629636,Darius Garland,CLE,0.506,605,G,2023-24
1630170,Devin Vassell,SAS,0.52,602,G-F,2023-24
1631128,Christian Braun,DEN,0.449,601,G,2023-24
1631246,Vince Williams Jr.,MEM,0.488,601,G,2023-24
1629639,Tyler Herro,MIA,0.441,599,G,2023-24
1630530,Trey Murphy III,NOP,0.415,591,F,2023-24
201976,Patrick Beverley,MIL,0.443,587,G,2023-24
203924,Jerami Grant,POR,0.512,584,F,2023-24
1631323,Simone Fontecchio,DET,0.461,581,F,2023-24
1630598,Aaron Wiggins,OKC,0.443,578,G,2023-24
1629130,Duncan Robinson,MIA,0.468,575,F,2023-24
203114,Khris Middleton,MIL,0.452,573,F,2023-24
1630167,Obi Toppin,IND,0.486,572,F,2023-24
1628464,Daniel Theis,LAC,0.475,570,F-C,2023-24
201145,Jeff Green,HOU,0.43,561,F,2023-24
1630164,James Wiseman,DET,0.483,559,C,2023-24
1630540,Miles McBride,NYK,0.456,555,G,2023-24
1630182,Josh Green,DAL,0.496,552,G,2023-24
1629661,Cameron Johnson,BKN,0.475,549,F,2023-24
201587,Nicolas Batum,PHI,0.446,549,G-F,2023-24
1630202,Payton Pritchard,BOS,0.489,546,G,2023-24
1630198,Isaiah Joe,OKC,0.485,544,G,2023-24
101108,Chris Paul,GSW,0.484,543,G,2023-24
1629680,Matisse Thybulle,POR,0.481,543,G-F,2023-24
1626204,Larry Nance Jr.,NOP,0.505,527,F-C,2023-24
203903,Jordan Clarkson,UTA,0.499,521,G,2023-24
1629599,Amir Coffey,LAC,0.479,520,G-F,2023-24
201569,Eric Gordon,PHX,0.451,519,G,2023-24
1627739,Kris Dunn,UTA,0.426,514,G,2023-24
203939,Dwight Powell,DAL,0.465,514,F-C,2023-24
1630217,Desmond Bane,MEM,0.464,509,G,2023-24
1631097,Bennedict Mathurin,IND,0.545,508,G-F,2023-24
1630214,Xavier Tillman,BOS,0.467,507,F,2023-24
1630549,Day'Ron Sharpe,BKN,0.49,506,C,2023-24
1630188,Jalen Smith,IND,0.508,504,F-C,2023-24
1629637,Jaxson Hayes,LAL,0.458,504,C-F,2023-24
1631119,Jaylin Williams,OKC,0.497,503,F,2023-24
1628378,Donovan Mitchell,CLE,0.476,500,G,2023-24
1629048,Goga Bitadze,ORL,0.502,500,C-F,2023-24
1630230,Naji Marshall,NOP,0.428,498,F,2023-24
1628467,Maxi Kleber,DAL,0.431,494,F,2023-24
1629018,Gary Trent Jr.,TOR,0.514,492,G,2023-24
201566,Russell Westbrook,LAC,0.436,491,G,2023-24
1629723,John Konchar,MEM,0.497,491,G,2023-24
1626168,Trey Lyles,SAC,0.49,488,F,2023-24
1641711,Gradey Dick,TOR,0.522,483,G-F,2023-24
1631204,Marcus Sasser,DET,0.488,482,G,2023-24
202711,Bojan Bogdanovic,NYK,0.535,469,F,2023-24
1641708,Amen Thompson,HOU,0.453,466,G-F,2023-24
1641710,Anthony Black,ORL,0.471,465,G,2023-24
1631223,David Roddy,PHX,0.454,463,F,2023-24
1631103,Malaki Branham,SAS,0.535,452,F,2023-24
1626224,Cedi Osman,SAS,0.53,451,F,2023-24
1641722,Jordan Hawkins,NOP,0.447,450,G,2023-24
1628988,Aaron Holiday,HOU,0.477,440,G,2023-24
1630541,Moses Moody,GSW,0.421,439,G,2023-24
203486,Mason Plumlee,LAC,0.479,438,F-C,2023-24
1629731,Dean Wade,CLE,0.474,435,F-C,2023-24
204456,T.J. McConnell,IND,0.524,435,G,2023-24
1626196,Josh Richardson,MIA,0.493,434,G,2023-24
1628470,Torrey Craig,CHI,0.493,432,F,2023-24
1631108,Max Christie,LAL,0.445,429,G,2023-24
1630172,Patrick Williams,CHI,0.486,428,F,2023-24
1630692,Jordan Goodwin,MEM,0.466,423,G,2023-24
1626166,Cameron Payne,PHI,0.483,420,G,2023-24
1628372,Dennis Smith Jr.,BKN,0.444,419,G,2023-24
1629001,De'Anthony Melton,PHI,0.505,418,G,2023-24
203109,Jae Crowder,MIL,0.437,414,F,2023-24
1626174,Christian Wood,LAL,0.437,414,F,2023-24
202687,Bismack Biyombo,OKC,0.485,412,C,2023-24
1629111,Jock Landale,HOU,0.443,411,C,2023-24
