player_name,player_std
Jaime Jaquez Jr.,6.674145345229922
Jake LaRavia,6.796734833403787
Jakob Poeltl,6.139591812886747
Jalen Brunson,9.554571943056157
Jalen Duren,5.058248406116932
Jalen Green,9.318278811389503
Jalen Johnson,6.340532208746643
Jalen Pickett,4.168619588951392
Jalen Smith,4.380840331914642
Jalen Suggs,7.013543895905833
Jalen Williams,6.758567521550051
Jalen Wilson,4.9366319105575025
Jamal Cain,5.69584677962901
Jamal Murray,8.399900049380362
Jamal Shead,4.365787002803292
James Harden,8.030129433788987
James Wiseman,5.634450288086393
Jamison Battle,5.545498266198283
Jarace Walker,4.869083477535991
Jared McCain,9.283981241488357
Jaren Jackson Jr.,7.970114123481782
Jarred Vanderbilt,3.9349080908582454
Jarrett Allen,6.334091464006971
Javonte Green,3.771635911526728
Jaxson Hayes,4.400788739446075
Jay Huff,5.865517428638719
Jaylen Brown,7.701221319336924
Jaylen Clark,3.797306970720836
Jaylen Wells,5.7849350165563695
Jaylin Williams,4.047172429247055
Jaylon Tyson,5.866124053530697
Jayson Tatum,7.41616543800916
Jeff Green,4.927186998396926
Jerami Grant,8.657969713532124
Jeremiah Robinson-Earl,4.458543643632128
Jeremy Sochan,6.63539493055222
Jericho Sims,2.569590471906454
Jett Howard,4.633802398761069
Jevon Carter,4.799416561077086
Jimmy Butler III,7.696771598553062
Jock Landale,4.61670901074176
Joe Ingles,4.082245706328231
Joel Embiid,11.143089325510774
John Collins,5.415892876050623
John Konchar,3.3429166270027695
Johnny Furphy,4.028663327349185
Johnny Juzang,5.9183791821452685
Jonas Valančiūnas,5.991802966251285
Jonathan Isaac,4.302925606999981
Jonathan Kuminga,7.060195142229105
Jordan Clarkson,8.024249982071012
Jordan Goodwin,5.248424993489065
Jordan Hawkins,7.2067731346217965
Jordan Poole,9.034498755104861
Jordan Walsh,2.668920616073464
Jose Alvarado,5.580528869698701
Josh Giddey,6.290892942857911
Josh Green,5.597931948966796
Josh Hart,6.065808588287971
Josh Okogie,4.851914432255333
Jrue Holiday,5.204866339188302
Julian Champagnie,5.842104434444578
