game_id,season,season_type,date_utc,home_team_id,away_team_id,final_score_home,final_score_away,status,source
0022500121,2025-26,Regular Season,2025-10-28T02:00:00Z,1610612744,1610612763,131,118,FINAL,cdn
0022500122,2025-26,Regular Season,2025-10-28T02:30:00Z,1610612747,1610612757,108,122,FINAL,cdn
0022500123,2025-26,Regular Season,2025-10-28T23:00:00Z,1610612764,1610612755,134,139,FINAL,cdn
0022500124,2025-26,Regular Season,2025-10-28T23:30:00Z,1610612748,1610612766,144,117,FINAL,cdn
0022500125,2025-26,Regular Season,2025-10-29T00:00:00Z,1610612749,1610612752,121,111,FINAL,cdn
0022500126,2025-26,Regular Season,2025-10-29T00:00:00Z,1610612760,1610612758,107,101,FINAL,cdn
0022500127,2025-26,Regular Season,2025-10-29T03:00:00Z,1610612744,1610612746,98,79,FINAL,cdn
0022500128,2025-26,Regular Season,2025-10-29T23:00:00Z,1610612738,1610612739,125,105,FINAL,cdn
0022500129,2025-26,Regular Season,2025-10-29T23:00:00Z,1610612765,1610612753,135,116,FINAL,cdn
0022500130,2025-26,Regular Season,2025-10-29T23:30:00Z,1610612751,1610612737,112,117,FINAL,cdn
0022500131,2025-26,Regular Season,2025-10-29T22:30:00Z,1610612761,1610612745,121,139,FINAL,cdn
0022500132,2025-26,Regular Season,2025-10-30T00:00:00Z,1610612741,1610612758,126,113,FINAL,cdn
0022500133,2025-26,Regular Season,2025-10-30T00:30:00Z,1610612742,1610612754,107,105,FINAL,cdn
0022500134,2025-26,Regular Season,2025-10-30T01:00:00Z,1610612743,1610612740,122,88,FINAL,cdn
0022500135,2025-26,Regular Season,2025-10-30T01:00:00Z,1610612762,1610612757,134,136,FINAL,cdn
0022500136,2025-26,Regular Season,2025-10-30T01:30:00Z,1610612750,1610612747,115,116,FINAL,cdn
0022500137,2025-26,Regular Season,2025-10-30T02:00:00Z,1610612756,1610612763,113,114,FINAL,cdn
0022500138,2025-26,Regular Season,2025-10-30T23:00:00Z,1610612766,1610612753,107,123,FINAL,cdn
0022500139,2025-26,Regular Season,2025-10-31T00:00:00Z,1610612749,1610612744,120,110,FINAL,cdn
0022500140,2025-26,Regular Season,2025-10-31T00:00:00Z,1610612760,1610612764,127,108,FINAL,cdn
0022500141,2025-26,Regular Season,2025-10-31T00:30:00Z,1610612759,1610612748,107,101,FINAL,cdn
0022500142,2025-26,Regular Season,2025-11-01T21:00:00Z,1610612749,1610612758,133,135,FINAL,cdn
0022500143,2025-26,Regular Season,2025-11-01T22:00:00Z,1610612766,1610612750,105,122,FINAL,cdn
0022500144,2025-26,Regular Season,2025-11-01T23:00:00Z,1610612754,1610612744,114,109,FINAL,cdn
0022500145,2025-26,Regular Season,2025-11-01T23:00:00Z,1610612764,1610612753,94,125,FINAL,cdn
0022500146,2025-26,Regular Season,2025-11-02T00:00:00Z,1610612738,1610612745,101,128,FINAL,cdn
0022500147,2025-26,Regular Season,2025-11-02T02:00:00Z,1610612765,1610612742,122,110,FINAL,cdn
0022500148,2025-26,Regular Season,2025-11-02T20:30:00Z,1610612760,1610612740,137,106,FINAL,cdn
0022500149,2025-26,Regular Season,2025-11-02T23:00:00Z,1610612751,1610612755,105,129,FINAL,cdn
