game_id,season,season_type,team_id,team_tricode,minutes,pts,reb,ast,stl,blk,tov,fga,fgm,fg3a,fg3m,fta,ftm,plus_minus,source
0022500417,2025-26,Regular Season,1610612760,OKC,240.0,110,40,23,5,1,13,85,46,30,12,7,6,0,cdn
0022500418,2025-26,Regular Season,1610612756,PHX,240.0,132,43,35,10,6,13,85,50,34,14,20,18,0,cdn
0022500418,2025-26,Regular Season,1610612747,LAL,240.0,108,49,22,7,4,17,81,39,32,12,29,18,0,cdn
0022500419,2025-26,Regular Season,1610612762,UTA,240.0,128,50,29,9,2,13,90,40,45,16,36,32,0,cdn
0022500419,2025-26,Regular Season,1610612763,MEM,240.0,137,53,41,10,8,15,88,49,45,19,29,20,0,cdn
0022500420,2025-26,Regular Season,1610612757,POR,240.0,106,53,23,9,7,17,87,41,32,9,19,15,0,cdn
0022500420,2025-26,Regular Season,1610612753,ORL,240.0,110,47,26,10,5,14,85,37,33,15,23,21,0,cdn
0022500421,2025-26,Regular Season,1610612758,SAC,240.0,127,52,26,12,5,13,92,42,33,11,37,32,0,cdn
0022500421,2025-26,Regular Season,1610612765,DET,240.0,136,55,38,9,8,15,95,51,32,14,28,20,0,cdn
0022500422,2025-26,Regular Season,1610612746,LAC,240.0,128,41,25,7,4,8,77,42,37,20,27,24,0,cdn
0022500422,2025-26,Regular Season,1610612745,HOU,240.0,108,45,25,5,6,13,86,43,30,9,18,13,0,cdn
0022500432,2025-26,Regular Season,1610612758,SAC,240.0,113,54,32,16,7,11,104,45,38,17,8,6,0,cdn
0022500432,2025-26,Regular Season,1610612742,DAL,240.0,107,61,23,6,8,19,87,40,27,13,20,14,0,cdn
0022500433,2025-26,Regular Season,1610612753,ORL,240.0,127,44,32,8,0,6,89,46,29,10,37,25,0,cdn
0022500433,2025-26,Regular Season,1610612743,DEN,240.0,126,56,27,5,3,16,86,44,29,11,30,27,0,cdn
0022500434,2025-26,Regular Season,1610612740,NOP,240.0,114,47,16,11,7,13,87,38,27,9,33,29,0,cdn
0022500434,2025-26,Regular Season,1610612756,PHX,240.0,123,65,26,7,3,16,98,45,44,20,19,13,0,cdn
0022500435,2025-26,Regular Season,1610612737,ATL,240.0,125,47,33,6,3,11,89,43,43,17,27,22,0,cdn
0022500435,2025-26,Regular Season,1610612752,NYK,240.0,128,63,27,9,4,12,95,43,43,15,32,27,0,cdn
0022500436,2025-26,Regular Season,1610612748,MIA,240.0,142,53,33,17,5,10,107,55,31,12,21,20,0,cdn
0022500436,2025-26,Regular Season,1610612754,IND,240.0,116,51,30,6,5,26,93,46,38,12,16,12,0,cdn
0022500437,2025-26,Regular Season,1610612741,CHI,240.0,103,61,28,5,2,15,93,39,38,13,16,12,0,cdn
0022500437,2025-26,Regular Season,1610612749,MIL,240.0,112,51,22,12,3,10,86,40,36,13,24,19,0,cdn
0022500438,2025-26,Regular Season,1610612745,HOU,240.0,117,66,27,12,9,15,88,43,35,16,21,15,0,cdn
0022500438,2025-26,Regular Season,1610612739,CLE,240.0,100,46,23,10,6,14,96,41,36,11,11,7,0,cdn
0022500439,2025-26,Regular Season,1610612750,MIN,240.0,107,45,27,8,1,11,83,37,31,13,28,20,0,cdn
0022500439,2025-26,Regular Season,1610612751,BKN,240.0,123,48,32,8,2,15,84,46,40,11,21,20,0,cdn
0022500440,2025-26,Regular Season,1610612759,SAS,240.0,114,53,30,6,7,11,99,43,44,10,21,18,0,cdn
0022500440,2025-26,Regular Season,1610612762,UTA,240.0,127,50,34,9,4,15,83,45,37,17,26,20,0,cdn
0022500441,2025-26,Regular Season,1610612761,TOR,265.0,141,61,40,10,2,14,110,56,42,13,18,16,0,cdn
0022500441,2025-26,Regular Season,1610612744,GSW,265.0,127,51,25,9,9,20,96,43,44,16,28,25,0,cdn
0022500442,2025-26,Regular Season,1610612760,OKC,240.0,129,51,27,12,6,13,87,50,28,10,25,19,0,cdn
0022500442,2025-26,Regular Season,1610612755,PHI,240.0,104,45,21,5,5,23,83,35,43,17,21,17,0,cdn
0022500443,2025-26,Regular Season,1610612764,WAS,240.0,116,63,26,9,12,19,99,42,33,8,25,24,0,cdn
0022500443,2025-26,Regular Season,1610612763,MEM,240.0,112,60,27,14,8,16,103,43,32,9,21,17,0,cdn
0022500444,2025-26,Regular Season,1610612757,POR,240.0,114,61,26,8,2,21,89,42,51,18,21,12,0,cdn
0022500444,2025-26,Regular Season,1610612738,BOS,240.0,108,51,19,13,5,20,91,40,44,13,19,15,0,cdn
0022500445,2025-26,Regular Season,1610612746,LAC,240.0,112,43,18,12,6,10,75,35,34,14,29,28,0,cdn
0022500445,2025-26,Regular Season,1610612765,DET,240.0,99,53,18,9,6,13,82,34,29,7,28,24,0,cdn
0022500446,2025-26,Regular Season,1610612747,LAL,240.0,125,50,25,14,4,15,89,47,38,15,18,16,0,cdn
0022500446,2025-26,Regular Season,1610612758,SAC,240.0,101,44,24,11,3,19,83,40,29,8,19,13,0,cdn
0022500447,2025-26,Regular Season,1610612766,CHA,240.0,113,54,28,5,3,13,93,40,46,17,20,16,0,cdn
0022500447,2025-26,Regular Season,1610612749,MIL,240.0,123,47,29,9,5,8,84,44,34,16,22,19,0,cdn
0022500448,2025-26,Regular Season,1610612764,WAS,240.0,101,48,21,6,8,15,78,36,32,13,21,16,0,cdn
0022500448,2025-26,Regular Season,1610612756,PHX,240.0,115,61,25,8,3,10,101,41,40,17,18,16,0,cdn
0022500449,2025-26,Regular Season,1610612751,BKN,240.0,107,41,22,10,5,15,80,36,42,18,23,17,0,cdn
0022500449,2025-26,Regular Season,1610612744,GSW,240.0,120,51,26,11,5,13,77,41,33,10,34,28,0,cdn
0022500450,2025-26,Regular Season,1610612748,MIA,240.0,147,54,40,8,4,9,99,53,46,22,23,19,0,cdn
0022500450,2025-26,Regular Season,1610612743,DEN,240.0,123,43,29,5,4,10,89,47,31,11,22,18,0,cdn
0022500451,2025-26,Regular Season,1610612761,TOR,240.0,107,68,22,6,7,6,99,39,34,8,29,21,0,cdn
0022500451,2025-26,Regular Season,1610612753,ORL,240.0,106,59,25,4,5,8,91,37,32,9,27,23,0,cdn
0022500452,2025-26,Regular Season,1610612741,CHI,240.0,101,54,25,3,7,16,93,38,38,13,14,12,0,cdn
0022500452,2025-26,Regular Season,1610612750,MIN,240.0,136,53,32,9,9,3,95,51,37,15,25,19,0,cdn
0022500453,2025-26,Regular Season,1610612745,HOU,240.0,126,54,21,4,6,16,83,49,27,10,24,18,0,cdn
0022500453,2025-26,Regular Season,1610612754,IND,240.0,119,38,30,12,3,9,88,44,34,18,20,13,0,cdn
0022500454,2025-26,Regular Season,1610612740,NOP,240.0,125,58,27,6,8,11,96,44,36,14,27,23,0,cdn
0022500454,2025-26,Regular Season,1610612752,NYK,240.0,130,48,35,8,4,8,95,46,44,20,19,18,0,cdn
0022500455,2025-26,Regular Season,1610612760,OKC,240.0,140,58,27,9,7,13,98,53,32,12,23,22,0,cdn
0022500455,2025-26,Regular Season,1610612737,ATL,240.0,129,44,32,11,4,16,97,46,54,25,17,12,0,cdn
0022500456,2025-26,Regular Season,1610612759,SAS,240.0,101,65,21,7,2,18,83,32,31,7,36,30,0,cdn
0022500456,2025-26,Regular Season,1610612739,CLE,240.0,113,51,29,12,4,12,96,41,42,13,20,18,0,cdn
0022500457,2025-26,Regular Season,1610612757,POR,240.0,125,57,27,3,3,15,97,46,41,16,22,17,0,cdn
0022500457,2025-26,Regular Season,1610612742,DAL,240.0,122,50,33,6,7,12,91,46,32,11,24,19,0,cdn
0022500462,2025-26,Regular Season,1610612766,CHA,240.0,125,46,35,11,1,15,93,48,40,16,17,13,0,cdn
0022500462,2025-26,Regular Season,1610612744,GSW,240.0,132,41,35,7,3,19,83,46,49,24,17,16,0,cdn
0022500463,2025-26,Regular Season,1610612737,ATL,240.0,126,62,38,9,4,8,104,51,42,16,16,8,0,cdn
0022500463,2025-26,Regular Season,1610612750,MIN,240.0,102,53,22,5,6,14,87,37,40,14,18,14,0,cdn
0022500464,2025-26,Regular Season,1610612754,IND,240.0,110,47,22,10,3,16,83,36,35,12,32,26,0,cdn
0022500464,2025-26,Regular Season,1610612753,ORL,240.0,112,59,28,9,4,19,90,43,21,3,28,23,0,cdn
0022500465,2025-26,Regular Season,1610612739,CLE,240.0,129,58,31,7,9,14,96,48,38,15,22,18,0,cdn
0022500465,2025-26,Regular Season,1610612756,PHX,240.0,113,61,23,8,5,13,105,42,36,15,16,14,0,cdn
0022500466,2025-26,Regular Season,1610612741,CHI,240.0,134,62,33,5,7,7,92,47,43,15,34,25,0,cdn
0022500466,2025-26,Regular Season,1610612740,NOP,240.0,118,53,25,4,9,10,98,42,38,12,27,22,0,cdn
0022500467,2025-26,Regular Season,1610612759,SAS,240.0,134,60,25,7,3,11,89,44,38,14,40,32,0,cdn
0022500467,2025-26,Regular Season,1610612752,NYK,240.0,132,46,32,7,2,10,96,46,52,22,20,18,0,cdn
0022500468,2025-26,Regular Season,1610612761,TOR,240.0,103,61,27,6,4,8,100,37,45,12,21,17,0,cdn
0022500468,2025-26,Regular Season,1610612743,DEN,240.0,106,58,17,5,5,10,80,34,34,10,34,28,0,cdn
0022500469,2025-26,Regular Season,1610612749,MIL,240.0,113,61,24,2,6,15,89,41,39,16,22,15,0,cdn
0022500469,2025-26,Regular Season,1610612764,WAS,240.0,114,54,31,8,8,10,94,41,39,19,20,13,0,cdn
0022500470,2025-26,Regular Season,1610612760,OKC,240.0,124,52,29,15,10,14,90,44,49,16,26,20,0,cdn
0022500470,2025-26,Regular Season,1610612757,POR,240.0,95,59,20,10,3,24,87,34,35,14,17,13,0,cdn
0022500471,2025-26,Regular Season,1610612751,BKN,240.0,96,40,18,12,2,13,76,34,30,10,30,18,0,cdn
0022500471,2025-26,Regular Season,1610612745,HOU,240.0,120,53,28,8,7,14,82,47,29,12,18,14,0,cdn
